Cluster_num,DIST,Total,ROUTE
10,293.0132017024413,335.5217696549567,"[0, 4, 11, 2, 8, 9, 1, 6, 12, 10, 5, 3, 7, 0]"
9,290.6927618281676,315.4572234513464,"[0, 3, 7, 8, 6, 2, 5, 4, 1, 10, 9, 0]"
8,275.7024700426853,298.1311987685893,"[0, 2, 7, 8, 3, 6, 4, 1, 5, 0]"
7,260.3303235340835,299.48009984426005,"[0, 2, 6, 4, 8, 5, 1, 3, 7, 0]"
6,240.6304297880715,267.79253302057754,"[0, 1, 5, 4, 2, 3, 6, 0]"
5,235.35219670900125,303.9919425775755,"[0, 4, 1, 5, 7, 3, 2, 6, 0]"
4,218.11778108372204,267.1414500781682,"[0, 3, 4, 1, 2, 5, 0]"
