Cluster_num,DIST,TIME,Total,ROUTE
10,289.200474212596,0.10073041915893555,328.346,"[0, 9, 1, 5, 2, 4, 8, 10, 6, 7, 3, 0]"
9,290.6927618281676,0.03390789031982422,277.875,"[0, 3, 7, 2, 9, 5, 4, 8, 1, 6, 0]"
8,275.7024700426853,0.012964725494384766,209.442,"[0, 1, 8, 5, 3, 7, 2, 6, 4, 0]"
7,272.14072054162875,0.003988027572631836,178.895,"[0, 1, 4, 5, 3, 6, 2, 7, 0]"
6,254.66790809429543,0.0019905567169189453,188.941,"[0, 1, 2, 5, 4, 6, 3, 0]"
5,222.06262068525308,0.0,152.784,"[0, 2, 4, 3, 1, 5, 0]"
