Cluster_num,DIST,TIME,Total,ROUTE
10,227.0320919173961,0.057845115661621094,385.831,"[0, 5, 3, 9, 10, 2, 8, 6, 4, 7, 1, 0]"
9,224.78890898994737,0.025929927825927734,346.767,"[0, 2, 3, 9, 4, 6, 8, 1, 7, 5, 0]"
8,218.017427639997,0.00997161865234375,320.39,"[0, 2, 8, 5, 4, 6, 1, 3, 7, 0]"
7,205.7652996104542,0.0039882659912109375,275.694,"[0, 1, 7, 4, 5, 2, 3, 6, 0]"
6,198.8053062638541,0.0009975433349609375,226.642,"[0, 3, 4, 2, 6, 5, 1, 0]"
5,194.36244650153077,0.0,165.482,"[0, 2, 3, 4, 1, 5, 0]"
