Cluster_num,DIST,Total,ROUTE
10,229.1486157003647,253.2615434185424,"[0, 3, 7, 1, 8, 2, 13, 11, 12, 14, 10, 5, 9, 4, 6, 0]"
9,226.50291022330228,231.09185999857368,"[0, 2, 8, 4, 7, 1, 11, 10, 12, 5, 9, 3, 6, 0]"
8,219.73142887335192,220.90040282226835,"[0, 5, 7, 1, 6, 4, 10, 11, 9, 8, 3, 2, 0]"
7,205.78239705930608,205.99285429088644,"[0, 4, 7, 5, 1, 8, 9, 6, 3, 2, 0]"
6,193.24126343358762,198.49819744652007,"[0, 2, 4, 1, 7, 8, 5, 3, 6, 0]"
5,200.1178564522604,179.88026492940438,"[0, 2, 5, 4, 6, 7, 1, 3, 0]"
4,161.20061408541207,159.3247343645885,"[0, 1, 3, 2, 5, 4, 0]"
